cluster,signature,cluster_mean,other_mean,difference,pvalue,enriched
0,luminal_hormonal,1.2497960395274224,1.2761363190656985,-0.026340279538276112,0.8851149572299378,False
0,basal_like,-0.9012822436444651,-0.8363232578471413,-0.06495898579732373,0.5284325016819575,False
0,her2_enriched,0.7524270957095711,0.7990586887435843,-0.04663159303401321,0.5673649386371897,False
0,immune_infiltration,1.520315292026097,1.5655915742573667,-0.04527628223126978,0.6605928910662322,False
0,proliferation,-1.8729185458823656,-1.8975958126173904,0.024677266735024794,0.7994155222521157,False
0,emt,1.0778434942963557,1.138128627680678,-0.060285133384322176,0.3573376143421031,False
0,angiogenesis,0.5325544415710817,0.5810095683527083,-0.04845512678162667,0.28253942191039094,False
1,luminal_hormonal,1.2667528461384552,1.272175263263868,-0.005422417125412915,0.9761816636510995,False
1,basal_like,-0.7999786017121497,-0.8602023566641154,0.060223754951965636,0.5574476646545867,False
1,her2_enriched,0.7677934313725491,0.7955220965468639,-0.027728665174314826,0.7328469232270782,False
1,immune_infiltration,1.6411771389759242,1.5370273135442245,0.1041498254316997,0.3104552332545537,False
1,proliferation,-1.849862464927048,-1.9031223184875703,0.05325985356052221,0.5819414343258535,False
1,emt,1.1337149894731322,1.1250155872745227,0.00869940219860954,0.8939769579362393,False
1,angiogenesis,0.5553157870848144,0.5757230518047568,-0.020407264719942364,0.6497614402583995,False
2,luminal_hormonal,1.4682116402288188,1.2255161793673697,0.2426954608614491,0.18440532341017657,False
2,basal_like,-0.932379837014837,-0.8292751088859378,-0.10310472812889915,0.3187358454375338,False
2,her2_enriched,0.7685108999999999,0.7952276423961842,-0.026716742396184268,0.744122706347428,False
2,immune_infiltration,1.468834900197628,1.5774035254161989,-0.10856862521857091,0.29401679205113174,False
2,proliferation,-1.9415051508136927,-1.8816621603954744,-0.05984299041821828,0.5392477571548007,False
2,emt,1.0991425604027898,1.1330587393843177,-0.03391617898152788,0.6060447408249041,False
2,angiogenesis,0.5638171245574253,0.5736606715346156,-0.009843546977190365,0.8279248513744702,False
3,luminal_hormonal,1.1216676954208875,1.3114455940979126,-0.1897778986770251,0.27735458367047855,False
3,basal_like,-0.7362517882406433,-0.8789698774916854,0.14271808925104212,0.14828743419873183,False
3,her2_enriched,0.747801731027085,0.8016416131481883,-0.053839882121103244,0.4909933659486053,False
3,immune_infiltration,1.6077707539446573,1.543302429126049,0.0644683248186082,0.5143228717085038,False
3,proliferation,-1.959061550094994,-1.8750706759223865,-0.08399087417260742,0.36690247149480304,False
3,emt,1.175263854561316,1.113581899496123,0.06168195506519303,0.3259799108268827,False
3,angiogenesis,0.615284971172536,0.5600857298715989,0.05519924130093712,0.2015951783318424,False
4,luminal_hormonal,1.2692788759116505,1.2716533747688321,-0.0023744988571816616,0.9890583561908379,False
4,basal_like,-0.8829575084896745,-0.8390907686428044,-0.04386673984687006,0.6540260353731071,False
4,her2_enriched,0.9028162003657263,0.7588046929632866,0.14401150740243973,0.06253942218212138,False
4,immune_infiltration,1.5414509923609625,1.5613305237636759,-0.01987953140271337,0.8391559184945457,False
4,proliferation,-1.8418392549433855,-1.9071519586509171,0.06531270370753162,0.47879933850844336,False
4,emt,1.139443431020734,1.123125465038219,0.016317965982515004,0.7931486089754327,False
4,angiogenesis,0.5850344782683371,0.5681228920181957,0.01691158625014144,0.6930583753198467,False
