bootstrap_iteration,ari_score
0,0.007056189077632124
1,-0.005951211295715335
2,0.0007048644209837915
3,0.0021684509222020896
4,0.000520450959004337
5,0.008594791224401387
6,0.0006540725776419926
7,-0.0032498666429061213
8,-0.004835353568144737
9,0.007064784620351506
10,-0.0010134627099179904
11,-0.009612131081197304
12,0.006132558941785873
13,-0.005315141134481114
14,-0.006669329819270923
15,0.000714241376677662
16,0.007091352661484139
17,0.003993050217634405
18,-0.00291307765090127
19,-0.0014690264740452022
20,-0.004114109392691192
21,0.004511127019720754
22,0.006835830618826166
23,-0.008325143912213567
24,-0.00014531289526047346
25,-0.0033053469640948554
26,-0.00838218705935128
27,0.001071347106019233
28,-0.0012119416054382508
29,-0.009544929565391231
30,0.0044783076747922064
31,-0.001066598792183257
32,-0.001916776108427522
33,-0.005623017846429865
34,0.00810484528939665
35,0.004239195304598507
36,-0.0030717044847225804
37,0.004751020802888943
38,0.007042905057065807
39,-0.0014166718047544248
40,-0.00352961248777326
41,0.0015065941328097252
42,0.004990133173082642
43,-6.795301078604125e-05
44,0.0040071156511752104
45,-0.00225669075233033
46,5.499808815944876e-06
47,0.002637298706895618
48,0.004431422896322854
49,0.0015706699967178409
