bootstrap_iteration,ari_score
0,0.005642301764226845
1,-0.000505249892356929
2,0.00023245630643312396
3,-0.006828445881985954
4,-0.005107131418142496
5,0.002550961502630433
6,-0.015329631601376086
7,-0.009041564478356112
8,-0.005001744818315347
9,-0.001559115890628433
10,-0.010235945943063816
11,-0.0035263324207352406
12,-0.003983007686652893
13,-0.005317904617796797
14,0.00954160595783141
15,-0.0006457653587931294
16,-0.0022616932228094358
17,-0.006758188148767853
18,0.0052910130981363435
19,-0.003139914888035689
20,-0.004685585018833895
21,5.681197338787328e-05
22,0.013897585417353626
23,-0.006301512882850201
24,5.681197338787328e-05
25,-0.0014537292908012825
26,0.011789853420810618
27,-0.0010673117581017312
28,0.011087276088629616
29,-0.009287466544619464
30,-0.0016996313570646336
31,0.004904595565436792
32,-0.001348342690974132
33,0.009822636890703812
34,-0.0002593478260935779
35,-0.006512286082504502
36,0.005255884231527294
37,-0.004193780886307193
38,-0.006758188148767853
39,-0.00872540467887466
40,-0.004685585018833895
41,-0.0052476468845786975
42,0.00181325530384038
43,0.009260575024959009
44,-0.012835482072133527
45,0.003885858433774338
46,0.004728951232391541
47,-0.004790971618661046
48,-0.0014537292908012825
49,-0.00837411601278416
