Method,Type,Silhouette,Davies-Bouldin,NMI vs PAM50,ARI vs PAM50,N_Clusters,Runtime (s)
K-means,Centroid,0.011918215500064352,10.27093566604069,0.02706248551522218,0.012518323876155405,5,1.7170825004577637
Spectral,Graph,-0.10655683676032664,3.9674563616693,0.0041919948662212155,0.002172126765159907,5,1.190687894821167
NMF,Matrix Factorization,-0.01842193064715624,16.15594920422724,0.02135279050875618,0.015931348653602594,5,4.340409517288208
Louvain,Graph,-0.01576934089632605,13.777909667039122,0.009733707963238084,-4.039192406483101e-05,18,1.393171787261963
BIGCLAM,Graph,-0.0072713258810376945,44.696265405808994,0.0008222386751045492,-0.00047595272550641804,3,
