Method,Type,Silhouette,Davies-Bouldin,NMI vs PAM50,ARI vs PAM50,N_Clusters,Runtime (s)
K-means,Centroid,0.005622300892290762,5.706775881521056,0.17155300138354831,0.10455790661468603,5,0.05075192451477051
Spectral,Graph,0.234778840935443,0.5976850614091673,0.022682861226861688,0.0036003986746360296,5,0.35421204566955566
NMF,Matrix Factorization,-0.018058725215234595,5.5443475089635275,0.09228418275684677,0.09214710288432817,5,0.10267400741577148
Louvain,Graph,0.005894778118862642,6.019653676443191,0.07706575670627959,0.03400201980980768,6,0.15677237510681152
BIGCLAM,Graph,-0.00701690694366254,14.591553835835049,0.005298453970070997,-0.003272594367680075,5,
