cluster,n_samples,dominant_pam50,dominant_pct,n_pam50_types,pam50_distribution
0,157,Luminal A,43.95,5,"Luminal A: 69 (43.9%), Luminal B: 36 (22.9%), Basal-like: 29 (18.5%), HER2-enriched: 19 (12.1%), Normal-like: 4 (2.5%)"
1,172,Luminal A,43.02,5,"Luminal A: 74 (43.0%), Luminal B: 41 (23.8%), Basal-like: 37 (21.5%), HER2-enriched: 18 (10.5%), Normal-like: 2 (1.2%)"
2,191,Luminal A,46.07,5,"Luminal A: 88 (46.1%), Luminal B: 50 (26.2%), Basal-like: 30 (15.7%), HER2-enriched: 21 (11.0%), Normal-like: 2 (1.0%)"
