gene,cluster_mean,other_mean,log2fc,pvalue,padj
JC037706,11.064279821328409,9.199781967251466,1.8644978540769426,0.0011279919285517033,0.03830878046479309
DQ586951,0.8559719378613668,-0.7906115140043933,1.64658345186576,3.585201509426296e-06,0.0009070265949872345
SNORD58C,0.5564556265656825,-0.44033359057177224,0.9967892171374547,4.272362863827432e-06,0.0010143575368617977
SNORD79,2.47051277582295,1.4846468064757372,0.9858659693472129,0.00018350265193645485,0.011582432212717134
MIR6727,2.59474488439757,1.6451070908913448,0.949637793506225,0.0007494666518361228,0.029691400590641275
SNORD87,1.0363581334493266,0.110902257297029,0.9254558761522976,0.00035534210581847494,0.018279390160145383
MIR8075,2.8261861249654894,1.9166527161423044,0.909533408823185,9.020888521991586e-05,0.007301564202901888
SNORD48,2.7937986397985055,1.9241596118468287,0.8696390279516768,0.0031661355150532805,0.0757540873427283
SNORD60,1.258348884730637,0.41157999774784376,0.8467688869827932,0.0004770702119663057,0.02208587376039355
DQ600552,0.0825679595143889,-0.7517213704663522,0.8342893299807411,0.0009189530337981212,0.03368584962966628
MIR324,-0.7144151156048695,-1.537983213420743,0.8235680978158735,2.3597470348182095e-05,0.002910450400360652
DM110819,0.6655422429666009,-0.1468467127002206,0.8123889556668216,0.0026421815217862474,0.06778942760304058
JA611308,-0.7676753074177695,-1.570688239951322,0.8030129325335525,0.0006359011359677032,0.02663105639300293
TRNA_Lys,-0.7528943514266625,-1.505855575004011,0.7529612235773485,0.00024359017587642743,0.014064325066495732
MIR4257,-1.2788790000934336,-2.0269303499448017,0.7480513498513681,1.0286598062541403e-05,0.0017773601104169965
SNORD14D,-1.3894669210441188,-2.1340261660305555,0.7445592449864367,3.9434914280752185e-06,0.0009772574789463347
SNORD58A,-1.3577662719708763,-2.095551034804329,0.7377847628334528,7.449664162371838e-05,0.0063997931296168155
MIR8078,-0.40685249335792856,-1.1205343885929098,0.7136818952349813,0.0012994875496420537,0.04186710148194362
MIR8085,-0.9490212097194042,-1.6617715278745164,0.7127503181551123,0.00025459697210562733,0.014441392446367888
U6,3.2299926217847474,2.518542293573846,0.7114503282109013,0.0007298887138401586,0.02914361598017658
MIR939,-0.1140710699769384,-0.8189123700428174,0.704841300065879,0.0006409542765223105,0.02673385641197448
DD181999,-1.3994423709537172,-2.1030454037726423,0.7036030328189251,0.009181569084378147,0.13966935918646203
TLS/FUS-ERG,1.4673857510137176,0.7708401314996169,0.6965456195141007,0.005425858377988175,0.10479919827071653
MIR631,1.6038935706637447,0.9085959828705374,0.6952975877932073,0.006962156956253956,0.12258241554750618
SNORD34,0.9866547355684567,0.29798245050182987,0.6886722850666269,0.011672606223732493,0.16004428379899316
DM110804,4.7287695607339355,4.047554058640256,0.6812155020936794,0.025754154226460723,0.24856221707308013
MIR8086,2.0283217585580036,1.3642605009484965,0.6640612576095071,0.00505573815820699,0.10060951531467359
DQ576856,-1.651392560288848,-2.3136286267278314,0.6622360664389835,0.001300912789371148,0.041869315165735645
SNORA52,0.920896266600676,0.25954603262658876,0.6613502339740873,8.445323597498119e-05,0.006951064342314118
SNORD33,2.302521772566522,1.646544138553882,0.65597763401264,0.005627023485771927,0.10700849712595194
MIR25,-0.41417383889481635,-1.0689583488100156,0.6547845099151992,0.0009937200962992618,0.03546856049486091
DQ590318,-1.5273285702177841,-2.1760347635232944,0.6487061933055103,0.011403059267343953,0.15792528895549948
MIR3190,-1.023762660650488,-1.6724227727488616,0.6486601120983737,0.000439898671164964,0.021050344938769942
SNORD4A,3.5102825369902426,2.873366434684455,0.6369161023057877,0.016386667558786313,0.19363495183841484
SNORD42A,0.028112215386410323,-0.6052849654160833,0.6333971808024936,0.011960227301888948,0.16247905619401512
MIR6087,0.1464949786639076,-0.48346563878452253,0.6299606174484301,0.02810012769436262,0.26061010855964606
JC037707,-1.369086879802106,-1.996114560962918,0.627027681160812,0.023411865507043085,0.23599191014855808
SNORD124,-1.4024339134615766,-2.0271932741038974,0.6247593606423207,1.8135649228453084e-05,0.0025040562340794717
SNORD59A,-1.3956415756462082,-2.0162352424093006,0.6205936667630925,0.0006836038449626856,0.027909302479858848
