gene,cluster_mean,other_mean,log2fc,pvalue,padj
septin 9/TNRC6C fusion,1.826117795257259,0.31494372448228014,1.5111740707749788,3.34940101902626e-07,4.62133493304629e-06
DQ584698,4.247392126591628,3.5321775889986515,0.7152145375929768,0.009352001831477509,0.0948257347334275
DQ590318,-1.5823562690107675,-2.2109538047823873,0.6285975357716198,0.004023352725214579,0.047127431447342695
SCGB2A2,7.909530845065483,7.442303570453004,0.4672272746124788,0.004139082555120841,0.048336278117217094
CYP4Z1,2.426678128147355,1.962362306264943,0.46431582188241194,0.0012149131163439342,0.015802062088476836
MIR4523,0.040739331005266645,-0.40973609186450194,0.4504754228697686,0.023266720666308242,0.1829623779275424
CYP2B7P,2.9929166711426913,2.5809414524627554,0.4119752186799359,0.0038677537868693945,0.04559901475619704
SCGB1D2,6.066262396056045,5.655179746712032,0.41108264934401273,0.01017942452145413,0.10093356572559038
HMGCS2,2.1683432411056796,1.7768781370348086,0.391465104070871,0.004233946635538988,0.04927630577145961
PIP,7.123502304515116,6.765863432910073,0.35763887160504293,0.018095311474499,0.15492698714574527
CYP4Z2P,1.4820370011901287,1.1543070986784927,0.32772990251163603,0.0029663057183496426,0.036230718637460115
THRSP,2.2029880763660437,1.8869204945342333,0.3160675818318104,0.0017960143252040768,0.02289714256399167
MIR4292,-2.002740455600916,-2.317722005619567,0.314981550018651,0.023154629350292853,0.1824062365739635
MIRLET7I,-2.1027787020366353,-2.4075933275059187,0.3048146254692834,0.013636638276916004,0.1258280539363266
AY748447,-1.1651225005150485,-1.4677802005850777,0.30265770007002923,0.005913625992536508,0.06544426900668317
MIR1254-1,-1.2239222046875258,-0.916183503626925,-0.30773870106060075,0.04741624954393373,0.2763266301586232
SNORA73A,-2.5474946898798576,-2.236823423162878,-0.31067126671697975,8.876811156424737e-06,0.00012236836817465364
SNORA43,-0.23716755846078294,0.07367057541845386,-0.3108381338792368,0.02480667702647711,0.19049994014187624
M87938,-1.8043362691041094,-1.4809227623034669,-0.3234135068006425,0.014759212312143947,0.1333166777917246
MIR647,-1.4676721705911542,-1.1437016891252285,-0.32397048146592566,0.0390888197027184,0.2474823425896212
SNORA72,-1.737666091385408,-1.41180652125749,-0.3258595701279181,0.012214549257320694,0.11522067934816725
MIR3653,-2.3962810857879777,-2.06802763647316,-0.3282534493148179,0.0046266928829186505,0.05318542861500341
SNORA52,0.07275611504254245,0.4031525282500874,-0.330396413207545,0.02132372700529823,0.17301704364314668
MIR570,-2.8299605221039412,-2.496138891589128,-0.3338216305148132,0.0012770464776324507,0.016596227171421302
SNORA24,1.6252600978794856,1.9638129251522773,-0.3385528272727918,0.01674459271558849,0.14603612720164985
MIR7107,-2.5306595873310855,-2.1813277240696984,-0.3493318632613871,0.005195033718574047,0.058669855735012065
Y_RNA,-0.01937272900302277,0.3369550587922507,-0.35632778779527347,0.04095358325171838,0.25443485246865694
D29988,-2.7640629127799063,-2.4022394818404074,-0.361823430939499,0.005090619735430599,0.057626097562640304
MIR4691,-2.436097344769692,-2.0694791867766567,-0.36661815799303543,0.004485156471605246,0.051770514022474165
U4,-0.021208080670898185,0.346830925584355,-0.3680390062552532,7.211321850619426e-05,0.0009887936424672083
DQ595741,-2.5406699643103363,-2.164471188414861,-0.37619877589547546,0.033600575545261926,0.2316104576236244
SNORD58A,-2.322172120426026,-1.9312197499759252,-0.390952370450101,0.013866908860453159,0.12723012543932424
SNORD104,6.694551006211821,7.085938383897651,-0.3913873776858301,0.0151358485341032,0.1356075370116387
SNORA27,-0.39986809888278246,-0.0026613477331099145,-0.3972067511496725,0.012304538629204814,0.11585710335277807
TRNA_Met,-2.2682235459448274,-1.8706758713334382,-0.3975476746113893,0.010450492528343182,0.10305254053907742
MIR1273D,-0.9593745785272245,-0.5418465180396651,-0.4175280604875594,0.019876022338753012,0.1647350777351267
Mir_548,0.5157076479894483,0.9499791893772447,-0.43427154138779633,0.039405547511353646,0.24846827863900517
5S_rRNA,0.5005700914801027,0.9484417778752734,-0.4478716863951707,0.005874932238861604,0.06508606731962076
MIR6739,-1.0716066189780966,-0.6191246645641406,-0.452481954413956,0.016793804148320327,0.1462999619073968
MIR658,-0.24753507058057087,0.20571952597768414,-0.453254596558255,0.008205713710012589,0.0855359911988784
DQ597999,-2.834857651601437,-2.3608436289699255,-0.4740140226315117,0.008481695292276121,0.08775981401143228
JA611306,-1.842551612591852,-1.368269530709975,-0.4742820818818769,0.021151132676057206,0.1723870372449183
U6,2.2192705162012585,2.695276030187222,-0.47600551398596336,0.00803894778453942,0.08436658394077158
MIR4459,-1.5586901650297742,-1.0788177354228337,-0.47987242960694054,0.02567437692104944,0.19518217824339681
MIR1204,-1.056487511216369,-0.5754021547480728,-0.4810853564682962,0.020566852422430785,0.16864928268287094
MIR939,-1.125189521031311,-0.6416063550068983,-0.48358316602441265,0.006022740186368572,0.06649748731461785
DQ587139,-1.810245646503994,-1.315636497396823,-0.4946091491071709,0.012072165930718984,0.11429674891154644
DQ576791,-1.2462712991240368,-0.7463993428254362,-0.4998719562986006,0.046543716229583976,0.2736848545296455
SNORD87,-0.18476472286262827,0.31961403203133065,-0.5043787548939589,0.02249674851596081,0.17882105149243635
MIR6748,-0.35954660875416894,0.21261879932427374,-0.5721654080784426,0.004237810346533604,0.049298900219363305
MIR5095,-1.081766680822156,-0.4986427951464921,-0.5831238856756639,0.0010570484428769633,0.013842087479591631
SNORD36A,4.283278307091876,4.878289215698492,-0.595010908606616,0.004830222802908316,0.05515958779278861
MIR8075,1.5417500878796848,2.140852351155213,-0.5991022632755283,0.0024940247696438387,0.03097709236018394
TRNA_Val,1.7769284160546157,2.3881798954965148,-0.6112514794418991,0.009783578267964903,0.09813784310716175
Mir_324,0.4460653813158388,1.0609002308715443,-0.6148348495557054,0.0034045274341041425,0.04093182832866383
SNORD44,0.09206375124295615,0.7184814482260719,-0.6264176969831157,0.009917014931001097,0.09889779187248753
SNORD58C,-0.9754103633373161,-0.1665222608703169,-0.8088881024669992,1.2088364386353505e-05,0.0001665657887432147
