gene,cluster_mean,other_mean,log2fc,pvalue,padj
MIR6087,0.2079366816342439,-0.5274954617722889,0.7354321434065327,0.003833069797473161,0.04171639608568728
DQ580250,-0.8318621104137033,-1.4714407495358552,0.639578639122152,0.008280268962981452,0.08054538340448235
DQ598167,1.8996584709570026,1.328961545545925,0.5706969254110776,0.04707292236562035,0.2957870009802264
TRNA_Val,2.7290230103545854,2.184511968410879,0.5445110419437063,0.026966035275616276,0.20310070248460135
HM467897,-2.085102491159966,-2.622404463474186,0.53730197231422,0.0006359485218471608,0.007956445531744068
EPYC,0.6374598285643257,0.32120161722930934,0.31625821133501636,0.0016193778238131518,0.01916491431441447
DQ571333,-0.20769756128606348,-0.5192595520061228,0.31156199072005936,0.03753968088545452,0.2548190566372452
BMPR1B,2.1994777695702767,2.499535709086532,-0.30005793951625526,0.026169801787745327,0.19860608118484374
DL492076,-1.4809089628073249,-1.1797971946187147,-0.3011117681886102,0.025788067175468273,0.19633102396704397
MIR6894,-2.8213453627445704,-2.51495175229455,-0.3063936104500202,0.018016129689060974,0.1518066729055056
TRNA_Cys,-2.5378720164003328,-2.228117533276825,-0.30975448312350773,0.02554334824161183,0.19509909514411017
SNORA21,1.1372401159460768,1.459251813425902,-0.3220116974798253,0.03840350626711037,0.25902224537362883
SnoU109,-1.9746884503118338,-1.6489252654075148,-0.325763184904319,0.00597629062368961,0.061465581506224526
MIR4257,-2.2056856252093517,-1.8789086504158878,-0.3267769747934639,0.029962435832405498,0.21901068531553833
SNORD102,-2.466007711505159,-2.1370220225263306,-0.3289856889788285,0.026496226282273744,0.20029537697829516
MIR6819,-2.884312652405323,-2.54953468642718,-0.33477796597814313,0.006558120376091374,0.06647082767566015
Mir_544,-2.368425702513368,-2.0214189475173314,-0.3470067549960367,0.007597537729525537,0.0752240011805018
SNORD19B,-2.8163386631539056,-2.46932304318345,-0.3470156199704557,0.0024635572145254906,0.028141263296198843
SNORD50,-2.6278813587484486,-2.2780399397493056,-0.349841418999143,0.011795026425999808,0.10818825873357625
MIR6840,-2.1041310716119273,-1.7505600800725476,-0.35357099153937965,0.03358157134907745,0.23680493481591855
MIR7111,-1.7526655654337067,-1.3951972246673805,-0.35746834076632616,0.03469920848001123,0.24176410371287704
MIR25,-1.287541824622663,-0.9269470111475876,-0.3605948134750755,0.04099494117730693,0.2698928177495637
MIR8085,-1.8761786010390706,-1.51190207007008,-0.3642765309689906,0.035149795348678785,0.2437426271482747
SNORA15,-1.4675092832643775,-1.0914238195089339,-0.3760854637554436,0.00861781416661676,0.0834867653021426
TRNA_Asp,-2.1501120127088544,-1.771215704976905,-0.3788963077319494,0.022850072100493595,0.18176996788189043
SNORA9,-2.0224397270410597,-1.6419999089118493,-0.38043981812921035,0.002404158619308473,0.027513665474585104
MIR4746,-2.858567160532487,-2.476904247211731,-0.3816629133207563,0.0013212646628125572,0.015886573361008797
