Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Synthesis Of Ketone Bodies R-HSA-77111,1/8,0.0059852428364459,0.0219229016631238,0,0,203.8571428571429,1043.434298452164,HMGCS2
Reactome_2022,Ketone Body Metabolism R-HSA-74182,1/10,0.0074763281564485,0.0219229016631238,0,0,158.53968253968253,776.212425317664,HMGCS2
Reactome_2022,Carnitine Metabolism R-HSA-200425,1/11,0.0082210881236714,0.0219229016631238,0,0,142.67857142857142,685.0073410932765,THRSP
Reactome_2022,PPARA Activates Gene Expression R-HSA-1989781,1/116,0.0835828345806861,0.1359439846629921,0,0,12.341614906832298,30.630865177076565,HMGCS2
Reactome_2022,Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206,1/118,0.08496499041437,0.1359439846629921,0,0,12.129426129426127,29.905294008728564,HMGCS2
Reactome_2022,Metabolism Of Lipids R-HSA-556833,2/732,0.1025964040993792,0.1367952054658389,0,0,4.05795574288725,9.239772046045296,THRSP;HMGCS2
Reactome_2022,Fatty Acid Metabolism R-HSA-8978868,1/173,0.1222205045572709,0.139680576636881,0,0,8.227990033222591,17.294646347456485,THRSP
Reactome_2022,Metabolism R-HSA-1430728,2/2049,0.4640189291088429,0.4640189291088429,0,0,1.3481642929615572,1.0351608975173054,THRSP;HMGCS2
