gene,cluster_mean,other_mean,log2fc,pvalue,padj
DQ586951,0.9950966531013076,-0.8129042167102217,1.8080008698115293,3.212808498761066e-07,9.01270752758039e-06
DQ597999,-1.6454279227168562,-2.5641949461649234,0.9187670234480672,1.2383258689093709e-05,0.0001707816262014644
DQ584698,4.345989008347304,3.5657227497324855,0.7802662586148181,0.015242488642870894,0.1741797156468753
U7,-0.7050186141232867,-1.4786727953651049,0.7736541812418182,0.0019188196546555377,0.02570502111152047
MIR6759,2.7147810456119084,1.9929316311934002,0.7218494144185081,0.01031149480861234,0.12259795349299686
DL492006,4.023552678537688,3.3382847045976725,0.6852679739400154,0.001390349468497727,0.01876394243339849
TRNA_Pseudo,2.933509750395193,2.2735035083171877,0.6600062420780053,0.015794377530014815,0.17962176214587594
JA611308,-0.9009438789329034,-1.552529987510453,0.6515861085775496,0.005402491620446411,0.06965242433796094
SNORA27,0.49065422402922193,-0.15773645425575417,0.6483906782849761,0.0004670182635783187,0.0063837549625087725
SNORD58C,0.1959722420518974,-0.3896384920580484,0.5856107341099458,0.006744410107572406,0.0858771526279795
MIR4516,0.6457761746351013,0.11737344914526925,0.528402725489832,0.011820986098358747,0.13888646209586702
DQ570592,-2.0567062405179,-2.5667199146379827,0.5100136741200827,0.003693244157810524,0.04858993219557622
MIR1273F,-1.6379281145970306,-2.108429451371214,0.47050133677418327,0.0007659879059796839,0.010415073444080592
L13714,0.8569347229866423,0.40930450411975156,0.44763021886689075,0.021638396731716796,0.23206015118986756
DQ593032,-1.0931388415057504,-1.5305294095853825,0.43739056807963217,0.018935809718919422,0.20913079435465545
MIR6514,-1.2838538863847937,-1.7135529705919794,0.4296990842071857,0.027929781881413533,0.284787815583029
SNORA11,0.3856252216916471,0.007629266964648396,0.3779959547269987,0.018937974087842604,0.20913079435465545
MIR7703,-2.1853743681456703,-2.525904046126217,0.3405296779805469,0.008442879473244388,0.10284859800481107
SnoU109,-1.4372497466112546,-1.7417012725551755,0.3044515259439209,0.02219050169119495,0.2368291267976252
CST9,-0.7494138210373041,-0.4165854612179659,-0.3328283598193382,0.02240635778991463,0.23880136621941603
DQ571333,-0.8000611542744013,-0.4192181079997195,-0.3808430462746818,0.02359467684356022,0.24940058245770075
COL2A1,-0.46192457443839163,-0.023497969829672498,-0.43842660460871913,0.0014261450741976554,0.019213429818904688
D28390,0.8870170742414807,1.412432060242919,-0.5254149860014383,0.024327261640518693,0.2550478704261581
