Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,negative regulation of T cell apoptotic process (GO:0070233),1/7,0.0052389168941443,0.0335847518773839,0,0,237.8452380952381,1249.0776854949,PIP
GO_Biological_Process_2021,ketone body biosynthetic process (GO:0046951),1/9,0.0067310464938694,0.0335847518773839,0,0,178.36607142857142,892.013120036697,HMGCS2
GO_Biological_Process_2021,negative regulation of lymphocyte apoptotic process (GO:0070229),1/10,0.0074763281564485,0.0335847518773839,0,0,158.53968253968253,776.212425317664,PIP
GO_Biological_Process_2021,regulation of T cell apoptotic process (GO:0070232),1/11,0.0082210881236714,0.0335847518773839,0,0,142.67857142857142,685.0073410932765,PIP
GO_Biological_Process_2021,ketone body metabolic process (GO:1902224),1/11,0.0082210881236714,0.0335847518773839,0,0,142.67857142857142,685.0073410932765,HMGCS2
GO_Biological_Process_2021,regulation of biosynthetic process (GO:0009889),1/11,0.0082210881236714,0.0335847518773839,0,0,142.67857142857142,685.0073410932765,THRSP
GO_Biological_Process_2021,carnitine shuttle (GO:0006853),1/11,0.0082210881236714,0.0335847518773839,0,0,142.67857142857142,685.0073410932765,THRSP
GO_Biological_Process_2021,medium-chain fatty acid metabolic process (GO:0051791),1/15,0.0111949172924613,0.0335847518773839,0,0,101.89285714285714,457.7328151534797,CYP4Z1
GO_Biological_Process_2021,androgen receptor signaling pathway (GO:0030521),1/15,0.0111949172924613,0.0335847518773839,0,0,101.89285714285714,457.7328151534797,SCGB2A2
GO_Biological_Process_2021,acetyl-CoA metabolic process (GO:0006084),1/15,0.0111949172924613,0.0335847518773839,0,0,101.89285714285714,457.7328151534797,HMGCS2
GO_Biological_Process_2021,fatty acid transmembrane transport (GO:1902001),1/19,0.0141604247470607,0.0386193402192566,0,0,79.23412698412699,337.3237811891663,THRSP
GO_Biological_Process_2021,intracellular lipid transport (GO:0032365),1/21,0.0156400643604775,0.0391001609011938,0,0,71.30357142857143,296.4745049823623,THRSP
GO_Biological_Process_2021,long-chain fatty acid transport (GO:0015909),1/32,0.0237411064214928,0.0464394615663626,0,0,45.97695852534562,171.97898738890794,THRSP
GO_Biological_Process_2021,regulation of lipid biosynthetic process (GO:0046890),1/35,0.0259396587086567,0.0464394615663626,0,0,41.91386554621849,153.06869330263612,THRSP
GO_Biological_Process_2021,retina homeostasis (GO:0001895),1/36,0.0266714820499685,0.0464394615663626,0,0,40.71428571428572,147.55510087647235,PIP
GO_Biological_Process_2021,acyl-CoA metabolic process (GO:0006637),1/37,0.0274027922368154,0.0464394615663626,0,0,39.58134920634921,142.37848146420913,HMGCS2
GO_Biological_Process_2021,fatty acid derivative biosynthetic process (GO:1901570),1/40,0.0295936471887674,0.0464394615663626,0,0,36.53113553113553,128.5967411966507,HMGCS2
GO_Biological_Process_2021,detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580),1/40,0.0295936471887674,0.0464394615663626,0,0,36.53113553113553,128.5967411966507,PIP
GO_Biological_Process_2021,sensory perception of bitter taste (GO:0050913),1/41,0.0303229080772226,0.0464394615663626,0,0,35.61607142857143,124.50850776759756,PIP
GO_Biological_Process_2021,detection of chemical stimulus involved in sensory perception of taste (GO:0050912),1/44,0.0325076230964538,0.0464394615663626,0,0,33.12624584717608,113.499815495736,PIP
GO_Biological_Process_2021,intracellular steroid hormone receptor signaling pathway (GO:0030518),1/44,0.0325076230964538,0.0464394615663626,0,0,33.12624584717608,113.499815495736,SCGB2A2
GO_Biological_Process_2021,unsaturated fatty acid metabolic process (GO:0033559),1/54,0.0397568742449852,0.0524021803973171,0,0,26.862533692722373,86.63093286520242,CYP4Z1
GO_Biological_Process_2021,icosanoid metabolic process (GO:0006690),1/57,0.0419217443178537,0.0524021803973171,0,0,25.419642857142858,80.62985215473387,CYP4Z1
GO_Biological_Process_2021,arachidonic acid metabolic process (GO:0019369),1/57,0.0419217443178537,0.0524021803973171,0,0,25.419642857142858,80.62985215473387,CYP4Z1
GO_Biological_Process_2021,long-chain fatty acid metabolic process (GO:0001676),1/83,0.0604940620743171,0.0725928744891805,0,0,17.337108013937282,48.63422992112451,CYP4Z1
GO_Biological_Process_2021,regulation of lipid metabolic process (GO:0019216),1/92,0.0668442628656717,0.0771279956142366,0,0,15.615384615384617,42.24570226347746,THRSP
GO_Biological_Process_2021,proteolysis (GO:0006508),1/287,0.1949777050122373,0.2166418944580414,0,0,4.91983016983017,8.043283046049554,PIP
GO_Biological_Process_2021,positive regulation of macromolecule metabolic process (GO:0010604),1/384,0.2524117402269253,0.2704411502431342,0,0,3.6557254755688176,5.0328139936219625,PIP
GO_Biological_Process_2021,positive regulation of gene expression (GO:0010628),1/482,0.306536264928833,0.3171064809608618,0,0,2.896346896346896,3.4246962122454354,PIP
GO_Biological_Process_2021,regulation of gene expression (GO:0010468),1/1079,0.5649071134716966,0.5649071134716966,0,0,1.25278293135436,0.7154567681515082,PIP
