Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Transcriptional Regulation By MECP2 R-HSA-8986944,1/60,0.2600683562676618,0.9994658690812922,0,0,3.396849854476973,4.574913980988086,PVALB
Reactome_2022,Generic Transcription Pathway R-HSA-212436,1/1190,0.9978640430090958,0.9994658690812922,0,0,0.1589571068124474,0.0003398886666982128,PVALB
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,1/1312,0.9988862557707124,0.9994658690812922,0,0,0.1432247725153903,0.00015960465977177789,PVALB
Reactome_2022,Gene Expression (Transcription) R-HSA-74160,1/1449,0.9994658690812922,0.9994658690812922,0,0,0.1287181204308276,6.87706958329679e-05,PVALB
