cluster,signature,cluster_mean,other_mean,difference,pvalue,enriched
0,luminal_hormonal,5.681368662332344,5.7163062112627046,-0.03493754893036094,0.5246918536033492,False
0,basal_like,2.7138528066593532,2.7017998520045823,0.012052954654770964,0.7532712244484829,False
0,her2_enriched,3.2642882819561074,3.267172543590723,-0.002884261634615637,0.9341504145886056,False
0,immune_infiltration,2.108244531856612,2.0472550506086153,0.060989481247996746,0.1712857571318061,True
0,proliferation,2.2273177194898484,2.2428438668454724,-0.015526147355624076,0.6704628667257544,False
0,emt,5.51839399919253,5.567700738772275,-0.04930673957974463,0.07972535102631344,False
0,angiogenesis,3.2892876860529343,3.3166468511266545,-0.02735916507372016,0.0838138910911662,False
1,luminal_hormonal,5.771404433097991,5.672272852405764,0.0991315806922266,0.0910301948667768,True
1,basal_like,2.686822474473664,2.7152456101182856,-0.0284231356446214,0.487726488273004,False
1,her2_enriched,3.27171696403596,3.2635391982588366,0.00817776577712337,0.826412486285198,False
1,immune_infiltration,2.0437629197077007,2.0839916803113017,-0.04022876060360092,0.3982834006779109,False
1,proliferation,2.2359729252030713,2.236851493337715,-0.000878568134643487,0.9820169976004371,False
1,emt,5.568743288042614,5.538772077178741,0.029971210863872777,0.3187858000616685,False
1,angiogenesis,3.3203482207407644,3.2992429404440884,0.02110528029667602,0.21186624834232137,False
2,luminal_hormonal,5.6598373868942025,5.7199447205222835,-0.06010733362808107,0.3089812437349747,False
2,basal_like,2.7171498011158723,2.7022715911222233,0.014878209993649083,0.718341690377342,False
2,her2_enriched,3.2625150778607783,3.267471119952051,-0.00495604209127265,0.8950063290192123,False
2,immune_infiltration,2.0508340504374134,2.0806172188310796,-0.029783168393666237,0.5346330452778169,False
2,proliferation,2.2498857274342017,2.2310260646997566,0.01885966273444506,0.6308988271440432,False
2,emt,5.566632255440486,5.539966281852923,0.026665973587562952,0.37844872218548664,False
2,angiogenesis,3.3128534076415472,3.3025956522461395,0.010257755395407742,0.5468674934968765,False
