gene,cluster_mean,other_mean,log2fc,pvalue,padj
MIR5096,2.867095563213852,2.0541083775142064,0.8129871856996456,1.3757819829815372e-05,0.00018648884894477446
MIR6777,-0.06273412721434918,-0.7393033910372241,0.6765692638228749,3.9998090365550463e-05,0.0005342021026104349
MIR4459,-0.7680886338179542,-1.4369413441834376,0.6688527103654833,8.306488826634526e-05,0.0010975161713787443
SNORD81,2.1285870014045116,1.4785682413105792,0.6500187600939324,0.009557059288448466,0.08518008516834014
SNORD78,-0.42772341289645005,-1.0510259616494844,0.6233025487530344,0.00035857746456483723,0.004504474336098373
DQ593048,13.45930875178618,12.839282469104687,0.6200262826814935,0.008369464542414133,0.07642931843170739
SNORD96A,-0.6390168984754152,-1.2448162156821765,0.6057993172067613,2.6486747949192114e-05,0.00035528616925328756
Mir_548,1.2290886404197476,0.6272994914581771,0.6017891489615705,0.0003038901539173463,0.003848818055256009
RNY3,0.40373517594836833,-0.1895659378980504,0.5933011138464187,2.2721158608814804e-05,0.00030610587536493623
DQ598167,1.7735408731556765,1.1883593609872563,0.5851815121684203,0.0073873777593603095,0.06909436804322908
JA611308,-1.1270507088489456,-1.702125320283244,0.5750746114342984,0.0002845052602754119,0.0036151728523674716
SNORD36B,-0.1632421948699424,-0.7347081465530306,0.5714659516830882,0.0004917336254484988,0.00608110234319698
SNORD34,0.7211447004181235,0.1564342746066749,0.5647104258114486,0.0021536673739585162,0.02375730646791623
DM110819,0.28353707686762836,-0.2673723302688487,0.5509094071364771,0.002491554103626097,0.02694527589643289
SNORD87,0.5545966203269861,0.005058595595677237,0.5495380247313089,0.0016613142509518967,0.018782587676055052
MIR1254-1,-0.6653682368665921,-1.1806492625929121,0.5152810257263201,2.6458831137793426e-05,0.00035506601002956265
TRNA_Asn,-1.100988662030607,-1.6125273472021524,0.5115386851715453,0.0002704144192045702,0.0034489012598136613
SNORD36A,5.071785444933912,4.563731141751049,0.5080543031828633,0.002341439431020644,0.02553658234574282
TRBV4-2,5.0476218289476344,4.546378428959711,0.5012433999879233,0.014325317687738428,0.11638613593894355
SNORD46,1.0035788831887338,0.5312620998085145,0.4723167833802193,0.0009993223860103701,0.011831256403609542
DQ576653,-1.9435179773616342,-2.409381056374193,0.46586307901255886,0.001477279492550953,0.01693767887726046
DQ590318,-1.820118933847473,-2.2805455800475243,0.46042664620005125,0.007724311013276212,0.07161635909425361
SNORD4A,3.2210490337757354,2.7719464683113313,0.4491025654644041,0.012054117411532296,0.10243190352856703
Mir_544,-1.8143010539681546,-2.258287168318078,0.4439861143499233,6.88922517011815e-06,9.400350790260684e-05
DQ595741,-1.972045383414076,-2.410673687731604,0.4386283043175281,0.001724324937322964,0.019423828171705577
SNORD10,0.8651349595769152,0.43507310287261824,0.430061856704297,1.2561423796667932e-05,0.00017049619414430772
